,리뷰수(개),평점,평균 연봉(만)
한미약품(주),1390,2.9,4502.0
(주)대웅제약,1384,2.7,4628.0
오스템임플란트(주),1356,2.6,4500.0
(주)종근당,1155,2.9,4990.0
의료법인삼성의료재단 삼성서울병원,1111,3.6,4884.0
삼성바이오로직스(주),934,3.7,4574.0
(주)녹십자,904,3.1,4543.0
제일약품(주),904,2.6,4434.0
한국유나이티드제약(주),871,2.8,3778.0
국립암센터,854,2.6,3699.0
(주)셀트리온,837,3.4,4767.0
서울대학교병원,826,3.2,4454.0
서울아산병원,817,3.5,4981.0
에이치케이이노엔(주),814,2.7,4237.0
JW중외제약(주),726,2.7,4537.0
(주)덴티움,716,2.1,3911.0
(주)보령,689,3.1,4787.0
일동제약(주),594,3.2,5165.0
(주)씨젠,560,2.9,5339.0
(주)신흥,525,2.2,3811.0
분당서울대학교병원,522,3.4,4370.0
(주)셀트리온제약,521,2.7,4252.0
대원제약(주),502,3.0,4904.0
일양약품(주),496,2.4,4197.0
(주)한독,487,3.3,4697.0
(주)바이오니아,481,2.5,3395.0
동국제약(주),480,2.5,4568.0
(주)마크로젠,479,2.5,3536.0
한국장애인고용공단,469,3.3,3371.0
(주)휴온스,466,2.6,4322.0
(주)아이센스,456,2.9,4060.0
동아에스티(주),453,3.4,4493.0
에스티팜(주),449,2.7,4051.0
광동제약(주),445,3.1,5151.0
(재)한국의학연구소,440,2.5,3479.0
(주)한국애보트진단,437,2.7,4500.0
휴젤(주),431,2.9,4162.0
바이넥스(주),429,2.6,3726.0
환인제약(주),423,2.4,4150.0
유한양행(주),422,3.3,5265.0
한림제약(주),408,2.8,4535.0
써모피셔사이언티픽코리아(주),394,2.5,5054.0
안국약품(주),374,2.5,4390.0
신풍제약(주),373,2.5,4332.0
유니메드제약(주),368,2.2,3466.0
(주)메디톡스,367,2.8,4514.0
(주)케어젠,362,1.9,3693.0
(주)와이에스생명과학,354,2.1,3489.0
한스바이오메드(주),352,2.1,3578.0
푸르니보육지원재단,351,2.9,2790.0
에스디바이오센서(주),350,2.4,6265.0
(주)하이로닉,345,2.9,3819.0
(사)한국건강관리협회,343,2.7,4327.0
(주)네오바이오텍,343,2.4,3152.0
(주)제노스,332,2.5,3581.0
경동제약(주),331,2.9,4262.0
(주)경보제약,327,2.5,4520.0
이연제약(주),324,1.9,3850.0
(주)오상헬스케어,323,2.1,3946.0
아주대학교병원,323,3.3,4393.0
(주)에이프로젠바이오로직스,322,2.4,3615.0
(주)유영제약,322,2.7,4196.0
의료법인삼성의료재단 강북삼성병원,321,3.1,4177.0
(주)서흥,316,2.5,3726.0
